#;NAME;PSRJ;RAJ;DECJ;PMRA;PMDEC;PX;POSEPOCH;ELONG;ELAT;PMELONG;PMELAT;Gl;Gb;RAJD;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;DM1;RM;W50;W10;UNITS;TAU_SC;S400;S1400;S2000;BINARY;T0;PB;A1;OM;ECC;TASC;EPS1;EPS2;Minimum;Median;BINCOMP;DIST;DIST_DM;DMsin(b);ZZ;XX;YY;ASSOC;SURVEY;OSURVEY;DISC.;PSR;NGLT;
355;J0737-2202;J0737-2202;07:37:44.0;-22:02:05.3;;;;51581.00;121.526;-42.837;;;237.685;-0.318;114.43362917;-22.03481111;0.320366;5.47e-15;3.121426;-5.328e-14;6.800e-26;;51581.00;95.59;;162.70;5.300;28.000;TDB;;;0.47;;;;;;;;;;;;;;3.059;3.059;-0.53;-0.017;-2.585;10.135;;pksmb,gbncc;002000040000;2002;;;
356;J0737-3039A;J0737-3039A;07:37:51.2;-30:39:40.7;-3.820;2.130;0.870;54100.00;124.645;-51.199;;;245.236;-4.505;114.46353508;-30.66130953;0.022699;1.76e-18;44.054069;-3.416e-15;;;53156.00;48.92;;120.46;14.300;15.100;TDB;;;3.06;;DDS;53155.9074;0.1023;1.4150;87.03;8.778e-02;;;;1.2543;1.5594;NS[bdp+03];1.100;1.105;-3.84;-0.086;-0.996;8.959;;pkshl,htru_pks,gbncc;002011000000;2003;HE[cgm+07,gkj+13];;
357;J0737-3039B;J0737-3039B;07:37:51.2;-30:39:40.7;-3.820;2.130;0.870;54100.00;124.645;-51.199;;;245.236;-4.505;114.46353508;-30.66130953;2.773461;8.92e-16;0.360560;-1.160e-16;;;53156.00;48.92;;118.00;58.000;88.000;TDB;;;1.30;;DD;53155.9074;0.1023;1.5161;267.03;8.778e-02;;;;1.3903;1.7387;NS[lbk+04];1.100;1.105;-3.84;-0.086;-0.996;8.959;;pkshl;000001000000;2004;;;
358;B0736-40;J0738-4042;07:38:32.2;-40:42:39.4;-14.000;13.000;;57600.00;130.289;-60.750;;;254.193;-9.192;114.63442500;-40.71095000;0.374921;1.38e-15;2.667230;-9.782e-15;-4.050e-24;;57600.00;160.90;;12.10;25.000;39.000;TCB;0.00;190.00;112.60;;;;;;;;;;;;;;1.600;1.570;-25.70;-0.256;-1.520;8.930;;mol1,mol2,pks70,pkshl,htru_pks;000011004011;1968;;;
359;J0738+6904;J0738+6904;07:38:22.6;+69:04:20.0;;;;56425.00;102.519;46.699;;;146.593;29.377;114.59419042;69.07223006;6.827693;2.70e-14;0.146462;-5.785e-16;;;56425.00;17.22;;;61.000;154.000;TDB;;;;;;;;;;;;;;;;;1.124;1.124;8.45;0.551;0.539;9.318;;gbncc;002000000000;2014;;;
360;J0740+6620;J0740+6620;07:40:45.7;+66:20:33.5;-10.319;-30.867;0.500;57551.00;103.759;44.102;-2.750;-32.430;149.730;29.599;115.19080319;66.34264435;0.002886;1.22e-20;346.531996;-1.464e-15;;;57551.00;14.96;;-41.00;0.250;0.850;TDB;;32.50;1.10;;ELL1;;4.7669;3.9776;251.66;6.005e-06;57552.0832;-5.700e-06;-1.890e-06;0.1919;0.2247;He[bkk+19];1.150;0.929;7.39;0.568;0.504;9.364;GRS:4FGL_J0741.0+6618[aab+22];gbncc,FermiBlind;002004000000;2014;HE[lsg+15,aab+22];;
361;J0741+17;J0741+17;07:41;+17:03;;;;;114.140;-4.298;;;202.768;18.438;115.25000000;17.05000000;1.730000;;0.578035;;;;;44.30;;;;;TDB;;;;;;;;;;;;;;;;;1.207;1.207;14.01;0.382;-0.443;9.556;;chime;200000000000;2023;RRAT[dcm+23];;
362;B0740-28;J0742-2822;07:42:49.0;-28:22:43.7;-29.000;4.000;;49326.00;125.334;-48.714;;;243.773;-2.444;115.70440833;-28.37882222;0.166762;1.68e-14;5.996559;-6.049e-13;-1.320e-24;;49326.00;73.73;;149.95;4.400;7.200;TDB;0.00;296.00;26.00;;;;;;;;;;;;;;2.000;3.114;-3.14;-0.085;-1.792;9.383;GRS:4FGL_J0742.8-2822[aab+22];misc,mol2,pks70,pksmb,pkshl,htru_pk;000015444010;1973;HE;8;
363;J0742+4110;J0742+4110;07:42:12.1;+41:10:14.8;;;;57169.00;110.147;19.502;;;178.128;26.575;115.55080754;41.17079891;0.003139;6.69e-21;318.558897;-6.791e-16;;;57169.00;20.81;;;0.640;1.100;TDB;;5.80;;;ELL1;56045.1469;1.3854;0.5565;90.00;1.000e-05;;1.000e-05;-0.000e+00;0.0576;0.0668;He[spp+23];0.523;0.523;9.31;0.234;0.015;8.967;;gbncc;002000000000;2023;;;
364;J0742+4334;J0742+4334;07:42:42.1;+43:34:02.2;;;;57998.00;109.773;21.875;;;175.536;27.214;115.67554167;43.56727778;0.606191;3.71e-16;1.649646;-1.010e-15;;;57998.00;36.26;;;30.000;;TDB;;;;;;;;;;;;;;;;;1.610;1.610;16.58;0.736;0.111;9.927;;lotaas;020000000000;2019;;;
